name,position,average_appearances,average_clean_sheets,average_goals_conceded,average_tackles,average_tackle_success_percentage,average_last_man_tackles,average_blocked_shots,average_interceptions,average_clearances,average_headed_clearance,average_clearances_off_line,average_recoveries,average_duels_won,average_duels_lost,average_successful_50_50s,average_aerial_battles_won,average_aerial_battles_lost,average_own_goals,average_errors_leading_to_goal,average_assists,average_passes,average_passes_per_match,average_big_chances_created,average_crosses,average_cross_accuracy_percentage,average_through_balls,average_accurate_long_balls,average_yellow_cards,average_fouls,average_offsides,average_goals,average_headed_goals,average_goals_with_right_foot,average_goals_with_left_foot,average_hit_woodwork,average_goals_per_match,average_penalties_scored,average_freekicks_scored,average_shots_on_target,average_shooting_accuracy_percentage,average_big_chances_missed,average_saves,average_penalties_saved,average_punches,average_high_claims,average_catches,average_sweeper_clearances,average_throw_outs,average_goal_kicks
Peter Crouch ,Forward,11.0,0.0,0.0,3.0,0.0,0.0,3.0,4.0,9.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,152.0,13.82,1.0,1.0,0.0,0.0,0.0,0.0,13.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Danny Graham ,Forward,10.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,8.8,0.0,3.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,50.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Keinan Davis ,Forward,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Troy Deeney ,Forward,38.0,0.0,0.0,49.0,0.0,0.0,34.0,17.0,48.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1290.0,33.95,12.0,26.0,0.0,0.0,0.0,6.0,50.0,18.0,13.0,3.0,10.0,0.0,1.0,0.34,6.0,0.0,32.0,34.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jermain Defoe ,Forward,33.0,0.0,0.0,17.0,0.0,0.0,26.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,425.0,12.88,2.0,13.0,0.0,0.0,0.0,3.0,17.0,43.0,15.0,0.0,12.0,3.0,1.0,0.45,1.0,0.0,39.0,46.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Memphis Depay ,Forward,29.0,0.0,0.0,13.0,0.0,0.0,18.0,10.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,642.0,22.14,1.0,89.0,0.0,0.0,0.0,2.0,20.0,8.0,2.0,0.0,1.0,1.0,2.0,0.07,0.0,0.0,17.0,30.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gerard Deulofeu ,Forward,26.0,0.0,0.0,16.0,0.0,0.0,2.0,14.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,523.0,20.12,9.0,141.0,0.0,0.0,0.0,2.0,3.0,2.0,2.0,0.0,1.0,1.0,0.0,0.08,0.0,0.0,6.0,67.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alessandro Diamanti ,Forward,3.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,17.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diego Costa ,Forward,28.0,0.0,0.0,21.0,0.0,0.0,15.0,6.0,25.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,824.0,29.43,4.0,12.0,0.0,0.0,0.0,8.0,43.0,33.0,12.0,0.0,9.0,3.0,1.0,0.43,0.0,0.0,28.0,41.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mame Biram Diouf ,Forward,26.0,0.0,0.0,18.0,0.0,0.0,6.0,5.0,18.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,264.0,10.15,1.0,8.0,0.0,0.0,0.0,3.0,21.0,8.0,5.0,5.0,0.0,0.0,0.0,0.19,0.0,0.0,16.0,52.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joseph Dodoo ,Forward,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Seydou Doumbia ,Forward,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
